job_id,job_title,job_description,correct_resume_id
1,Senior Python Developer,"Senior Python developer with 5+ years, Django/FastAPI, AWS, Docker, Kubernetes, PostgreSQL","1"
2,Full Stack Engineer,"Full stack engineer skilled in React, Node.js, Python, PostgreSQL","2"
3,Data Scientist,"Data scientist with experience in Python, scikit-learn, TensorFlow, NLP","3"
4,Machine Learning Engineer,"ML engineer experienced with PyTorch, model deployment, Docker, AWS","4"
5,DevOps Engineer,"DevOps engineer with Terraform, Kubernetes, AWS, CI/CD","5"
6,Site Reliability Engineer,"SRE focused on monitoring, Prometheus, Grafana, Kubernetes","6"
7,Backend Java Engineer,"Backend engineer using Java, Spring Boot, microservices","7"
8,Frontend React Engineer,"Frontend developer with React, TypeScript, CSS","8"
9,Product Manager,"Product manager experienced in roadmaps, A/B testing, analytics","9"
10,UX Designer,"UX/UI designer with Figma, prototyping, user research","10"
11,iOS Engineer,"Mobile engineer using Swift and iOS SDK, REST APIs","11"
12,Android Engineer,"Mobile engineer using Kotlin and Android Jetpack","12"
13,QA Automation Engineer,"QA automation with Selenium, PyTest, CI/CD","13"
14,Security Engineer,"Security engineer experienced in cloud security and pen testing","14"
15,Data Engineer,"Data engineer with Spark, Airflow, ETL, AWS","15"
16,Business Analyst,"Business analyst skilled in SQL, Excel, and data visualization","16"
17,HR Generalist,"HR generalist with recruiting and onboarding experience","17"
18,Marketing Manager,"Marketing manager experienced in SEO, content, analytics","18"
19,Sales Executive,"B2B sales executive with CRM and account management","19"
20,Technical Writer,"Technical writer experienced in API docs and Markdown","20"
21,Cloud Architect,"Cloud architect with AWS/Azure/GCP and IaC expertise","21"
22,AI Researcher,"AI researcher in deep learning and NLP with publications","22"
23,Analytics Engineer,"Analytics engineer using dbt, SQL, and Looker","23"
24,Full Stack (Python),"Full stack Python developer with Django, React, PostgreSQL","24"
25,BI Developer,"BI developer skilled in SQL, Power BI, and ETL","25"
26,Computer Vision Engineer,"Computer vision engineer with OpenCV and TensorFlow","26"
27,Research Engineer,"Research engineer with algorithms and C++","27"
28,Embedded Systems Engineer,"Embedded engineer with C/C++ and embedded Linux","28"
29,Game Developer,"Game developer experienced in Unity and C#","29"
30,Customer Success Manager,"CSM focused on SaaS onboarding and retention","30"
31,Data Analyst,"Data analyst with SQL, Python, and Tableau","31"
32,Operations Manager,"Operations manager experienced in process improvement","32"
33,Accessibility Engineer,"Accessibility engineer focused on WCAG and ARIA","33"
34,Blockchain Engineer,"Blockchain engineer working with Solidity and Web3","34"
35,Research Scientist NLP,"NLP research scientist working with Transformers","35"
36,Systems Architect,"Systems architect designing scalable distributed systems","36"
37,ERP Consultant,"ERP consultant experienced with SAP and Oracle","37"
38,Growth Marketer,"Growth marketer skilled in acquisition and CRO","38"
39,QA Automation Lead,"QA automation lead building frameworks and CI/CD","39"
40,Cloud Security Engineer,"Cloud security engineer focusing on IAM and cloud hardening","40"
41,PLC Engineer,"PLC engineer experienced in SCADA and industrial controls","41"
42,Content Strategist,"Content strategist with SEO and editorial planning","42"
43,QA Tester,"Entry-level QA tester focused on manual testing","43"
44,Localization Engineer,"Localization engineer handling i18n and l10n pipelines","44"
45,Research Intern,"Early-career research intern with Python and data skills","45"
46,Technical Program Manager,"TPM experienced in program management and roadmaps","46"
47,Speech Recognition Engineer,"ASR engineer experienced with Kaldi and deep learning","47"
48,Finance Analyst,"Finance analyst skilled in modeling and forecasting","48"
49,Recruiter,"Recruiter experienced in sourcing and ATS","49"
50,Legal Counsel Tech,"Legal counsel advising on tech contracts and privacy","50"