id,name,title,years_experience,skills,summary,education
1,"Candidate 01","Senior Python Developer",6,"Python;Django;FastAPI;SQL;Docker;Kubernetes;AWS;Git","Senior backend engineer focused on Python services and REST APIs. Experience building scalable systems and CI/CD pipelines.","B.S. Computer Science"
2,"Candidate 02","Full Stack Engineer",5,"JavaScript;React;Node.js;Python;SQL;Docker;AWS","Full stack developer with React frontends and Node/Python backends. Delivered several end-to-end products.","B.S. Software Engineering"
3,"Candidate 03","Data Scientist",4,"Python;Pandas;scikit-learn;TensorFlow;SQL;NLP","Data scientist experienced in model development, feature engineering, and MLOps basics.","M.S. Data Science"
4,"Candidate 04","Machine Learning Engineer",5,"Python;TensorFlow;PyTorch;ML pipelines;Docker;AWS","Built and deployed ML models to production; implemented training pipelines and monitoring.","M.S. Computer Science"
5,"Candidate 05","DevOps Engineer",7,"Docker;Kubernetes;Terraform;AWS;CI/CD;Linux","DevOps specialist focusing on infrastructure as code, orchestration, and deployment automation.","B.S. Information Systems"
6,"Candidate 06","Site Reliability Engineer",6,"Linux;Prometheus;Grafana;Kubernetes;Go;Python","SRE experienced in reliability, monitoring, and incident response for distributed systems.","B.S. Computer Engineering"
7,"Candidate 07","Backend Engineer (Java)",5,"Java;Spring Boot;SQL;Microservices;Docker;Kubernetes","Backend developer building microservices with Spring Boot and relational databases.","B.S. Computer Science"
8,"Candidate 08","Frontend Engineer",3,"JavaScript;React;TypeScript;CSS;HTML;Webpack","Frontend developer focused on modern React applications and UI performance.","B.S. Design"
9,"Candidate 09","Product Manager",8,"Roadmapping;Stakeholder Management;A/B Testing;SQL;Data Analysis","Product leader with experience owning roadmaps, metrics, and cross-functional delivery.","MBA"
10,"Candidate 10","UX/UI Designer",4,"Figma;Sketch;User Research;Prototyping;HTML/CSS","Designer creating user-centered interfaces and prototypes with a data-informed approach.","B.A. Design"
11,"Candidate 11","Mobile Engineer (iOS)",5,"Swift;iOS SDK;REST APIs;Core Data;Unit Testing","iOS developer building performant mobile apps and integrations with backend services.","B.S. Computer Science"
12,"Candidate 12","Mobile Engineer (Android)",4,"Kotlin;Android SDK;Jetpack;REST APIs;SQLite","Android developer focusing on modern architecture and maintainable codebases.","B.S. Software Engineering"
13,"Candidate 13","QA Engineer",4,"Selenium;PyTest;Test Automation;CI/CD;API Testing","QA automation engineer building reliable test suites and improving test coverage.","B.S. Computer Science"
14,"Candidate 14","Security Engineer",6,"Network Security;Penetration Testing;AWS Security;SIEM;Python","Security specialist with cloud security, incident response, and automation experience.","B.S. Cybersecurity"
15,"Candidate 15","Data Engineer",5,"Python;Spark;Airflow;SQL;ETL;AWS","Data engineer building ETL pipelines, data warehouses, and streaming systems.","M.S. Data Engineering"
16,"Candidate 16","Business Analyst",3,"SQL;Excel;Stakeholder Interviews;Data Visualization","Business analyst translating data into actionable product and business requirements.","B.A. Economics"
17,"Candidate 17","HR Generalist",7,"Recruiting;Onboarding;Employee Relations;HRIS","HR professional handling recruiting, onboarding, and employee lifecycle programs.","B.A. Human Resources"
18,"Candidate 18","Marketing Manager",6,"SEO;Content Marketing;Google Analytics;Campaigns","Marketing manager driving content strategy, performance campaigns, and analytics.","B.A. Marketing"
19,"Candidate 19","Sales Executive",8,"B2B Sales;CRM;Account Management;Negotiation","Experienced sales exec with a track record of closing enterprise deals and managing accounts.","B.S. Business"
20,"Candidate 20","Technical Writer",5,"Documentation;Markdown;API Docs;Content Strategy","Technical writer creating developer docs, API references, and onboarding guides.","B.A. English"
21,"Candidate 21","Cloud Architect",9,"AWS;Azure;GCP;Microservices;IaC;Security","Cloud architect designing multi-cloud solutions, reliability, and security best practices.","M.S. Computer Science"
22,"Candidate 22","AI Researcher",6,"Python;PyTorch;Research;Deep Learning;NLP","Researcher experienced in cutting-edge deep learning and published work in NLP.","Ph.D. Machine Learning"
23,"Candidate 23","Analytics Engineer",4,"dbt;SQL;Looker;Data Modeling;Python","Analytics engineer building transformation pipelines and analytics models for BI teams.","B.S. Information Systems"
24,"Candidate 24","Full Stack (Python)",5,"Python;Django;React;PostgreSQL;Docker","Full stack dev combining Django backends with React frontends for product features.","B.S. Computer Science"
25,"Candidate 25","BI Developer",5,"SQL;Power BI;ETL;Data Visualization","BI developer building dashboards and metrics for business decision-making.","B.S. Statistics"
26,"Candidate 26","Computer Vision Engineer",4,"Python;OpenCV;TensorFlow;Model Deployment","Engineer developing computer vision models and deployment pipelines for production.","M.S. Computer Vision"
27,"Candidate 27","Research Engineer",5,"Python;C++;Algorithms;Optimization","Research engineer applying algorithms and prototyping systems for R&D teams.","M.S. Computer Science"
28,"Candidate 28","Embedded Systems Engineer",6,"C;C++;RTOS;Embedded Linux;Hardware Debugging","Embedded engineer designing firmware and low-level software for devices.","B.S. Electrical Engineering"
29,"Candidate 29","Game Developer",4,"C#;Unity;Gameplay;Shaders;Optimization","Game dev building interactive gameplay systems and performance-optimized code.","B.S. Computer Science"
30,"Candidate 30","Customer Success Manager",6,"Customer Onboarding;SaaS;Retention;Support","CSM focused on driving adoption and retention for SaaS customers through enablement.","B.A. Communications"
31,"Candidate 31","Data Analyst",3,"SQL;Python;Tableau;Statistics","Data analyst turning raw data into insights, dashboards, and operational recommendations.","B.S. Statistics"
32,"Candidate 32","Operations Manager",8,"Process Improvement;Logistics;KPI Tracking","Operations manager streamlining processes and leading cross-functional teams to deliver.","B.S. Business Administration"
33,"Candidate 33","Accessibility Engineer",4,"WCAG;ARIA;Frontend;Testing","Engineer improving accessibility across web products and running audits and fixes.","B.S. Computer Science"
34,"Candidate 34","Blockchain Engineer",3,"Solidity;Smart Contracts;Ethereum;Web3","Blockchain engineer building smart contracts, token systems, and decentralized apps.","B.S. Computer Science"
35,"Candidate 35","Research Scientist (NLP)",5,"NLP;Transformers;PyTorch;Evaluation","NLP scientist working on language models, evaluation, and dataset curation.","Ph.D. Computational Linguistics"
36,"Candidate 36","Systems Architect",10,"Distributed Systems;Scalability;Performance Tuning;Go","Systems architect designing high-throughput, scalable backends for core services.","M.S. Computer Engineering"
37,"Candidate 37","ERP Consultant",7,"SAP;Oracle;Business Processes;Integration","ERP consultant implementing and configuring enterprise resource planning systems.","B.S. Information Systems"
38,"Candidate 38","Growth Marketer",4,"Acquisition;CRO;Paid Channels;Analytics","Growth marketer running experiments across funnels to drive acquisition and revenue.","B.A. Marketing"
39,"Candidate 39","QA Automation Lead",6,"Test Automation;Selenium;CI/CD;Python;Quality Strategy","QA lead building automation frameworks and improving test pipelines across teams.","B.S. Computer Science"
40,"Candidate 40","Cloud Security Engineer",5,"IAM;Encryption;Cloud Hardening;Compliance","Cloud security specialist focused on hardening cloud workloads and compliance.","B.S. Cybersecurity"
41,"Candidate 41","PLC Engineer",8,"PLC;SCADA;Industrial Controls;Electrical Engineering","Engineer designing and programming PLC systems for industrial automation.","B.S. Electrical Engineering"
42,"Candidate 42","Content Strategist",5,"Content Ops;SEO;Editorial Calendars;Analytics","Content strategist aligning content with product and growth objectives.","B.A. Communications"
43,"Candidate 43","QA Tester",2,"Manual Testing;Test Cases;Bug Tracking","Entry-level QA tester writing test cases and validating product functionality.","A.S. Information Technology"
44,"Candidate 44","Localization Engineer",4,"i18n;l10n;Translation Tools;CI","Engineer handling internationalization, localization pipelines, and string management.","B.S. Linguistics"
45,"Candidate 45","Research Intern",1,"Python;Data Analysis;Research Assistance","Early-career researcher supporting experiments, data cleaning, and baseline models.","B.S. Computer Science (in progress)"
46,"Candidate 46","Technical Program Manager",7,"Program Management;Stakeholder Alignment;Roadmaps;SQL","TPM experienced in technical program delivery across engineering organizations.","B.S. Computer Science"
47,"Candidate 47","Speech Recognition Engineer",5,"ASR;Kaldi;Deep Learning;Python","Engineer building speech recognition systems and transcription pipelines.","M.S. Electrical Engineering"
48,"Candidate 48","Finance Analyst",4,"Financial Modeling;Excel;SQL;Forecasting","Finance analyst preparing forecasts, models, and financial reports for leadership.","B.S. Finance"
49,"Candidate 49","Recruiter",6,"Sourcing;Interviewing;ATS;Candidate Experience","Recruiter managing full-cycle hiring and improving candidate pipelines.","B.A. Human Resources"
50,"Candidate 50","Legal Counsel (Tech)",9,"Tech Contracts;Privacy;Compliance;Negotiation","Legal counsel advising on technology contracts, privacy, and compliance matters.","J.D. Law"